content,content_stem,score,target
"WORST customer service. This app has ZERO consumer protection and they are not responsible to bad seller. Bought something (with vouchers and promotion), waited for TWO months and did not get my item at all. Complained to the customer service, nothing is done from their part except to ask me wait. Now the transaction is cancelled, they just refund the money and nothing is being done to my WASTED time. Don't have promotions if you can't keep it up on your end. And improve your customer service.",worst custom servic zero consum protect respons bought someth voucher promot wait two month get complain custom servic noth done part except ask wait transact cancel refund money noth done wast time promot keep end improv custom servic,1,1
Great app! It could use some clean up though. There is too much going on on the home page.,great could use clean though much go home page,5,0
"The app shows ""connecting"" most of the times. I cannot even open photo sent to seller.",show connect time cannot even open photo sent,2,1
Very buggy!,buggi,2,1
It's great online shopping apps,great onlin shop app,5,0
User friendly... Product reviews n easy to navigate 👍🏽👍🏽👍🏽👍🏽👍🏽,user friendli product review n easi navig,5,0
04/05/2020 Unfortunate i bought a sale counterfeit goods. Seller selling counterfeit items with original ads and more put their sale counterfeit items on sale/first page yet shopee didnt do anything...... . I think aliexpress or qoo10 still better. Hope shopee settle my issue soon,unfortun bought sale counterfeit good sell counterfeit origin ad put sale counterfeit sale first page yet didnt anyth think aliexpress qoo still better hope settl issu soon,1,1
Cant even add an address. What a waste of time.,cant even add address wast time,1,1
Nice matrial item 👍👍👍👍,nice matrial,4,0
"Enjoy shopping at shopee, user friendly interface",enjoy shop user friendli interfac,5,0
Spent 30 mins and 5 tries to setup an account and made purchase successfully. Probably the worst ecommerce app I have ever tried..Pls put more time into fixing the system instead of doing a bunch of expensive marketing with celebrities,spent min tri setup account made purchas success probabl worst ecommerc ever tri pl put time fix system instead bunch expens market celebr,1,1
Please never hire someone like Cristiano for your ads ever again. Cringefest,pleas never hire someon like cristiano ad ever cringefest,1,1
I am a frequent user of this apps. Shopee needs to have a strict rules and requirements apply to sellers as to have a smooth transaction for buyers. 1) Seller shouldn't list items that is not in stock and at the end of the day we need to go through the refund process. 2) Encountered many times that seller requested to cancel order as they update the price wrongly. 3) Seller is not being honest to inform if there is no stock partially but still proceed with shipment for the rest of the items.,frequent user app need strict rule requir appli smooth transact buyer list stock end day need go refund process encount mani time request cancel order updat price wrongli honest inform stock partial still proceed shipment rest,4,0
The service is really bad. I recently use shopee to buy some travelling kit and the seller ship the wrong item to me but I requested for a return/refund and contact the seller to process it but till now still no response. I really think this app could be improve but for now I will not buy anything and trust any seller in this app after what happened.,servic realli recent use buy travel kit ship wrong request return refund contact process till still respons realli think could improv buy anyth trust happen,1,1
easy to order and the sellers most of them are responsive,easi order respons,5,0
No bad using,use,4,0
"Posted a 1-star review about the app's connectivity issues few hours ago, now the review is gone. Back here to post an updated review, that the app works and I was able to login a few minutes after I posted my last review.",post star review connect issu hour ago review gone back post updat review work abl login minut post last review,4,0
Recent updates make it so lag Even blank pages. Can fix it?,recent updat make lag even blank page fix,2,1
"Putting up a new review because I dont know how else to get your attention. With the new 12.12 event, at first I cant login to get coins, then cant get the daily birthday gift, now I cant play the flip & match. Everyday its just another new bug that doesnt allow me to get my coins :(",put new review dont know els get attent new event first cant login get coin cant get daili birthday gift cant play flip match everyday anoth new bug doesnt allow get coin,2,1
